,test,case,Line
0,test_add,empty_data,Line 3067
1,test_add,columns_only,Line 3108
2,test_div,empty_data,Line 3174
3,test_div,columns_only,Line 3215
4,test_divide,columns_only,Line 3281
5,test_divide,empty_data,Line 3347
6,test_floordiv,empty_data,Line 3388
7,test_floordiv,columns_only,Line 3429
8,test_mod,columns_only,Line 3495
9,test_mod,empty_data,Line 3561
10,test_mul,empty_data,Line 3602
11,test_mul,columns_only,Line 3643
12,test_multiply,columns_only,Line 3709
13,test_multiply,empty_data,Line 3775
14,test_pow,empty_data,Line 3816
15,test_pow,columns_only,Line 3853
16,test_sub,columns_only,Line 3927
17,test_sub,empty_data,Line 3993
18,test_subtract,empty_data,Line 4034
19,test_subtract,columns_only,Line 4075
20,test_truediv,columns_only,Line 4141
21,test_truediv,empty_data,Line 4207
22,test___div__,empty_data,Line 4248
23,test___div__,columns_only,Line 4289
24,test_eq,columns_only,Line 4355
25,test_eq,empty_data,Line 4421
26,test_ge,empty_data,Line 4462
27,test_ge,columns_only,Line 4503
28,test_gt,columns_only,Line 4569
29,test_gt,empty_data,Line 4635
30,test_le,empty_data,Line 4676
31,test_le,columns_only,Line 4717
32,test_lt,columns_only,Line 4783
33,test_lt,empty_data,Line 4849
34,test_ne,empty_data,Line 4890
35,test_ne,columns_only,Line 4931
36,test_radd,columns_only,Line 4997
37,test_rfloordiv,columns_only,Line 5063
38,test_rdiv,columns_only,Line 5129
39,test_rmul,columns_only,Line 5195
40,test_rmod,columns_only,Line 5261
41,test_rsub,columns_only,Line 5327
42,test_rpow,columns_only,Line 5393
43,test___rsub__,columns_only,Line 5463
44,test_abs,empty_data,Line 5529
45,test_applymap_numeric,plus one-columns_only,Line 5565
46,test_applymap_numeric,convert to string-columns_only,Line 5642
47,test_applymap_numeric,square-columns_only,Line 5719
48,test_applymap_numeric,identity-columns_only,Line 5796
49,test_applymap_numeric,return false-columns_only,Line 5873
50,test_at,columns_only,Line 5950
51,test_at,empty_data,Line 5998
52,test_get,col2-columns_only,Line 6038
53,test_get,B-columns_only,Line 6085
54,test_get,col1-columns_only,Line 6132
55,test_get_dummies,drop_first True-dummy_na True-empty_data,Line 6179
56,test_get,A-columns_only,Line 6206
57,test_get,does not exist-columns_only,Line 6253
58,test_get_dummies,drop_first True-dummy_na None-empty_data,Line 6301
59,test_get_dummies,drop_first True-dummy_na False-empty_data,Line 6328
60,test_get_dummies,drop_first False-dummy_na False-empty_data,Line 6355
61,test_get_dummies,drop_first False-dummy_na True-empty_data,Line 6382
62,test_get_dummies,drop_first None-dummy_na True-empty_data,Line 6409
63,test_get_dummies,drop_first False-dummy_na None-empty_data,Line 6436
64,test_get_dummies,drop_first None-dummy_na None-empty_data,Line 6463
65,test_get_dummies,drop_first None-dummy_na False-empty_data,Line 6490
